Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series B - OpenSea,https://www.crunchbase.com/funding_round/opensea-series-b--a365136a,"Andreessen Horowitz, Ashton Kutcher, Coatue, Creative Artists Agency, Crowd Venture Capital, Devang Thakkar, Dylan Field, Kevin Hartz, Lars Fjeldsoe-Nielsen, Republic, Thirty Five Ventures",OpenSea,https://www.crunchbase.com/organization/opensea,Series B,100000000,USD,100000000,2021-07-20,Andreessen Horowitz,1400000000,USD,1400000000,427220000,USD,427220000
Series A - Iambic Therapeutics,https://www.crunchbase.com/funding_round/entos-844f-series-a--fa6092a7,"Catalio Capital Management, Coatue, FreeFlow, Nexus Venture Partners, OrbiMed, Sequoia Capital",Iambic Therapeutics,https://www.crunchbase.com/organization/entos-844f,Series A,53000000,USD,53000000,2021-07-14,"Catalio Capital Management, Coatue",,,,203000000,USD,203000000
Series A - Stytch,https://www.crunchbase.com/funding_round/stytch-auth-series-a--2183bd12,"Alex Adelman, Benchmark, Coatue, Index Ventures, Thrive Capital",Stytch,https://www.crunchbase.com/organization/stytch-auth,Series A,30000000,USD,30000000,2021-07-14,Thrive Capital,170000000,USD,170000000,126250000,USD,126250000
Series D - HeyTea,https://www.crunchbase.com/funding_round/heytea-series-d--f7d2264b,"BA Capital, Boquan He, Coatue, Hillhouse Investment, HongShan, IDG Capital, Longzhu Capital, Temasek Holdings, Tencent",HeyTea,https://www.crunchbase.com/organization/heytea,Series D,500000000,USD,500000000,2021-07-14,,8500000000,USD,8500000000,595145465,USD,595145465
Post-IPO Equity - Sunlight Financial,https://www.crunchbase.com/funding_round/sunlight-financial-post-ipo-equity--9fb47cc0,"BlackRock, Chamath Palihapitiya, Coatue, Franklin Templeton, Neuberger Berman",Sunlight Financial,https://www.crunchbase.com/organization/sunlight-financial,Post-IPO Equity,250000000,USD,250000000,2021-07-12,,,,,955000000,USD,955000000
Series B - CertiK,https://www.crunchbase.com/funding_round/certik-series-b--7beb6306,"Coatue, Coinbase Ventures, Shunwei Capital",CertiK,https://www.crunchbase.com/organization/certik,Series B,37000000,USD,37000000,2021-07-07,Coatue,,,,300200000,USD,300200000
Series B - ShadowBot,https://www.crunchbase.com/funding_round/shadowbot-series-b--454addd3,"Coatue, GGV Capital, GSR United Capital, Hillhouse Ventures, Red Dot 21",ShadowBot,https://www.crunchbase.com/organization/shadowbot,Series B,50000000,USD,50000000,2021-07-01,Coatue,,,,158670925,USD,158670925
Series A - Yahaha,https://www.crunchbase.com/funding_round/bolygon-series-a--363e1162,"5Y Capital, BAI capital, Bilibili, Coatue, Hillhouse Investment, Xiaomi, ZhenFund",Yahaha,https://www.crunchbase.com/organization/bolygon,Series A,31000000,USD,31000000,2021-06-25,Coatue,,,,121000000,USD,121000000
Series E - Chainalysis,https://www.crunchbase.com/funding_round/chainalysis-series-e--b35d8de5,"9Yards Capital, Accel, Addition, Altimeter Capital, Benchmark, Blackstone Group, Coatue, Dragoneer Investment Group, Durable Capital Partners, GIC, Pictet Private Equity Investors S.A., Sequoia Heritage, SVB Capital",Chainalysis,https://www.crunchbase.com/organization/chainalysis,Series E,100000000,USD,100000000,2021-06-24,Coatue,4100000000,USD,4100000000,536620000,USD,536620000
Series C - GoStudent,https://www.crunchbase.com/funding_round/gostudent-series-c--a3d6b44e,"Coatue, DN Capital, Dragoneer Investment Group, DST Global, Left Lane Capital, SoftBank Vision Fund, Tencent",GoStudent,https://www.crunchbase.com/organization/gostudent,Series C,205000000,EUR,244696064,2021-06-22,DST Global,1195000000,EUR,1426399005,781338907,USD,781338907
