Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Seed Round - Codi,https://www.crunchbase.com/funding_round/codi-2000-seed--95cf8891,"ANIMO Ventures, Coatue, Karman Ventures (fka Moving Capital), NFX, Urban Innovation Fund, Varsha Rao",Codi,https://www.crunchbase.com/organization/codi-2000,Seed,5000000,USD,5000000,2020-08-11,"ANIMO Ventures, NFX, Urban Innovation Fund",,,,21000000,USD,21000000
Series B - Rippling,https://www.crunchbase.com/funding_round/rippling-series-b--be46fb57,"Bedrock, Coatue, Founders Fund, Greenoaks, Initialized Capital, Kleiner Perkins, Y Combinator",Rippling,https://www.crunchbase.com/organization/rippling,Series B,145000000,USD,145000000,2020-08-04,Founders Fund,1205000000,USD,1205000000,1987000000,USD,1987000000
Series C - Shimo Docs,https://www.crunchbase.com/funding_round/shimo-docs-series-c--db42de36,Coatue,Shimo Docs,https://www.crunchbase.com/organization/shimo-docs,Series C,,,,2020-08-01,,,,,,,
Series E - UiPath,https://www.crunchbase.com/funding_round/uipath-series-e--f7445e83,"Accel, Alkeon Capital, Anchor Capital GP, Coatue, Dragoneer Investment Group, Harmony Partners, IVP, Madrona, Sequoia Capital, T. Rowe Price, Tencent, Tiger Global Management, Two Culture Capital, Wellington Partners",UiPath,https://www.crunchbase.com/organization/uipath,Series E,225000000,USD,225000000,2020-07-31,"Alkeon Capital, Coatue",10000000000,USD,10000000000,1993025000,USD,1993025000
Series E - Rebel Foods,https://www.crunchbase.com/funding_round/faaso-s-series-e--2cf6571b,Coatue,Rebel Foods,https://www.crunchbase.com/organization/faaso-s,Series E,26500000,USD,26500000,2020-07-29,Coatue,,,,577551029,USD,577551029
Series C - Xpeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-c--d1c34490,"Aspex Management, Coatue, Hillhouse Investment, HongShan",Xpeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series C,500000000,USD,500000000,2020-07-20,,,,,6408970886,USD,6408970886
Series D - Vedantu,https://www.crunchbase.com/funding_round/vedantu-innovations-series-d--457e09fd,"Coatue, Notable Capital, Omidyar Network, Tiger Global Management, WestBridge Capital",Vedantu,https://www.crunchbase.com/organization/vedantu-innovations,Series D,100000000,USD,100000000,2020-07-15,Coatue,500000000,USD,500000000,295185958,USD,295185958
Series A - Bond,https://www.crunchbase.com/funding_round/bond-financial-technologies-series-a--7a2980c0,"B Capital, Canaan Partners, Coatue, Goldman Sachs, John Mack, Mastercard",Bond,https://www.crunchbase.com/organization/bond-financial-technologies,Series A,32000000,USD,32000000,2020-07-15,Coatue,,,,42000000,USD,42000000
Series E - Rivian,https://www.crunchbase.com/funding_round/rivian-automotive-series-e--21fe1b24,"Amazon, Baron Capital, BlackRock, Coatue, David Murray-Hundley, Fidelity, Soros Fund Management, T. Rowe Price",Rivian,https://www.crunchbase.com/organization/rivian-automotive,Series E,2500000000,USD,2500000000,2020-07-10,T. Rowe Price,,,,14328250000,USD,14328250000
Series A - Kikoff,https://www.crunchbase.com/funding_round/kikoff-6b3b-series-a--8cd2c6b3,"Coatue, Core Innovation Capital, Foundation Capital, Lightspeed Venture Partners, Notable Capital, Stephen Curry",Kikoff,https://www.crunchbase.com/organization/kikoff-6b3b,Series A,10000000,USD,10000000,2020-07-01,Lightspeed Venture Partners,,,,42500000,USD,42500000
Private Equity Round - Oscar Health,https://www.crunchbase.com/funding_round/oscar-private-equity--4e68732e,"Alphabet, Baillie Gifford, Coatue, General Catalyst, Khosla Ventures, Lakestar, Thrive Capital",Oscar Health,https://www.crunchbase.com/organization/oscar,Private Equity,225000000,USD,225000000,2020-06-26,"Baillie Gifford, Coatue",,,,1632500000,USD,1632500000
Seed Round - Karat Financial,https://www.crunchbase.com/funding_round/karat-f5a7-seed--988f285d,"Coatue, CRV, Kevin Lin, SignalFire, Y Combinator",Karat Financial,https://www.crunchbase.com/organization/karat-f5a7,Seed,4600000,USD,4600000,2020-06-25,,,,,100600000,USD,100600000
Series A - DoNotPay,https://www.crunchbase.com/funding_round/donotpay-series-a--18425e01,"Andreessen Horowitz, Coatue, Day One Ventures, Felicis, Founders Fund",DoNotPay,https://www.crunchbase.com/organization/donotpay,Series A,12000000,USD,12000000,2020-06-23,Coatue,68000000,USD,68000000,27700000,USD,27700000
Series B - Checkout.com,https://www.crunchbase.com/funding_round/checkout-com-series-b--87449483,"Blossom Capital, Coatue, DST Global, Endeavor Catalyst, GIC, Insight Partners",Checkout.com,https://www.crunchbase.com/organization/checkout-com,Series B,150000000,USD,150000000,2020-06-22,Coatue,5350000000,USD,5350000000,1830000000,USD,1830000000
Series B - Starburst,https://www.crunchbase.com/funding_round/starburst-series-b--7c6e9756,"Coatue, Index Ventures",Starburst,https://www.crunchbase.com/organization/starburst,Series B,42000000,USD,42000000,2020-06-16,Coatue,300000000,USD,300000000,414000000,USD,414000000
Series E - Domino Data Lab,https://www.crunchbase.com/funding_round/domino-data-lab-series-e--9b9722f2,"Coatue, Dell Technologies Capital, Highland Capital Partners, Highland Europe, Sequoia Capital",Domino Data Lab,https://www.crunchbase.com/organization/domino-data-lab,Series E,43000000,USD,43000000,2020-06-10,Highland Capital Partners,,,,223600000,USD,223600000
Private Equity Round - Marqeta,https://www.crunchbase.com/funding_round/marqeta-private-equity--0ddf52ab,"83North, Coatue, Goldman Sachs, Granite Ventures, ICONIQ Growth, Visa, Vitruvian Partners",Marqeta,https://www.crunchbase.com/organization/marqeta,Private Equity,150000000,USD,150000000,2020-05-28,Coatue,4150000000,USD,4150000000,530110000,USD,530110000
Series B - Loom,https://www.crunchbase.com/funding_round/loom-series-b--e1a6c2e4,"Coatue, Dylan Field, General Catalyst, Jay Simons, Kleiner Perkins, Sequoia Capital, Slack Fund",Loom,https://www.crunchbase.com/organization/loom,Series B,28750000,USD,28750000,2020-05-28,"Coatue, Sequoia Capital",321250000,USD,321250000,203550000,USD,203550000
Series E - Confluent,https://www.crunchbase.com/funding_round/confluent-series-e--3ea198a0,"Altimeter Capital, Coatue, Durable Capital Partners, Franklin Templeton, Index Ventures, Sequoia Capital",Confluent,https://www.crunchbase.com/organization/confluent,Series E,250000000,USD,250000000,2020-04-21,Coatue,4250000000,USD,4250000000,455900000,USD,455900000
Series C - Attentive,https://www.crunchbase.com/funding_round/attentive-series-c--f5f678ff,"Coatue, Sequoia Capital, Sequoia Capital Global Equities",Attentive,https://www.crunchbase.com/organization/attentive,Series C,40000000,USD,40000000,2020-04-15,"Coatue, Sequoia Capital",,,,863000000,USD,863000000
Series A - Choco,https://www.crunchbase.com/funding_round/choco-series-a--5207d8b1,"Atlantic Labs, Bessemer Venture Partners, Christian Edler, Coatue, Greyhound Capital, Target Global, Visionaries Club",Choco,https://www.crunchbase.com/organization/choco,Series A,30200000,USD,30200000,2020-04-15,Coatue,219800000,USD,219800000,336269652,USD,336269652
Series E - Rebel Foods,https://www.crunchbase.com/funding_round/faaso-s-series-e--b5170f79,Coatue,Rebel Foods,https://www.crunchbase.com/organization/faaso-s,Series E,50000000,USD,50000000,2020-04-10,Coatue,650000000,USD,650000000,577551029,USD,577551029
Series A - Avail Medsystems,https://www.crunchbase.com/funding_round/avail-medsystems-series-a--f96648b5,"Baidu Ventures, Coatue, GRIDS Capital, Lux Capital, Playground Global, Refactor, Sonder Capital",Avail Medsystems,https://www.crunchbase.com/organization/avail-medsystems,Series A,15000000,USD,15000000,2020-03-27,"Coatue, Lux Capital, Sonder Capital",,,,127932668,USD,127932668
Seed Round - Nate,https://www.crunchbase.com/funding_round/nate-seed--2d717f98,"Canaan Partners, Coatue",Nate,https://www.crunchbase.com/organization/nate,Seed,8000000,USD,8000000,2020-03-27,"Canaan Partners, Coatue",,,,47300000,USD,47300000
Series D - HeyTea,https://www.crunchbase.com/funding_round/heytea-series-d--357c3879,"Coatue, Hillhouse Investment",HeyTea,https://www.crunchbase.com/organization/heytea,Series D,,,,2020-03-23,"Coatue, Hillhouse Investment",,,,595145465,USD,595145465
Series C - BharatPe,https://www.crunchbase.com/funding_round/bharatpe-series-c--dca39b1b,"Amplo, AngelList India, Coatue, Insight Partners, Ribbit Capital, Steadview Capital, Survam Partners, Tiger Global Management",BharatPe,https://www.crunchbase.com/organization/bharatpe,Series C,75000000,USD,75000000,2020-02-24,"Coatue, Ribbit Capital, Tiger Global Management",350000000,USD,350000000,790692341,USD,790692341
Series B - OneTrust,https://www.crunchbase.com/funding_round/onetrust-series-b--c071617f,Coatue,OneTrust,https://www.crunchbase.com/organization/onetrust,Series B,210000000,USD,210000000,2020-02-20,Coatue,2490000000,USD,2490000000,1120000000,USD,1120000000
Series A - Ramp,https://www.crunchbase.com/funding_round/ramp-financial-series-a--54f8dc6f,"Backend Capital, BoxGroup, Coatue, Conversion Capital, Founders Fund, Soma Capital",Ramp,https://www.crunchbase.com/organization/ramp-financial,Series A,15000000,USD,15000000,2020-02-12,Founders Fund,,,,1817000000,USD,1817000000
Series A - Boost,https://www.crunchbase.com/funding_round/boost-insurance-series-a--43fad1f4,"Coatue, Conversion Capital, Glenn Hubbard, Greycroft, IA Capital Group, Norwest Venture Partners, Tusk Venture Partners",Boost,https://www.crunchbase.com/organization/boost-insurance,Series A,14000000,USD,14000000,2020-02-05,"Coatue, Greycroft",,,,37000000,USD,37000000
Seed Round - Haus,https://www.crunchbase.com/funding_round/drink-haus-seed--3401dd34,"Arianna Simpson, Backend Capital, Balaji Srinivasan, Basement Fund, Brand Foundry Ventures, Casey Neistat, Coatue, Color Capital, Combine, CX Collective, Dream Machine, Elizabeth Colton, Gerry Ruvo, Great Oaks Venture Capital, Haystack, Homebrew, Jen Rubio, Kevin Weil, Ligaya Tichy, Magdalena Kala, Margaret Stewart, Matt Caspari, Michael Kives, Mike Kruzeniski, Nik Sharma, Niv Dror, Peter Hunn, Rahul Vohra, Reshape, Resolute Venture Partners, Russel Simmons, Scribble Ventures, Selva Ventures, Shrug Capital, Web Smith, Worklife, Zach Segal",Haus,https://www.crunchbase.com/organization/drink-haus,Seed,4500000,USD,4500000,2020-01-30,,,,,7500000,USD,7500000
Series A - Persona,https://www.crunchbase.com/funding_round/persona-188f-series-a--7d93e096,"Coatue, First Round Capital",Persona,https://www.crunchbase.com/organization/persona-188f,Series A,17500000,USD,17500000,2020-01-28,"Coatue, First Round Capital",,,,217518750,USD,217518750
Series C - Snyk,https://www.crunchbase.com/funding_round/snyk-series-c--57155319,"Amity Ventures, boldstart ventures, Coatue, Global Forward Capital, Salesforce Ventures, Stripes, Tiger Global Management",Snyk,https://www.crunchbase.com/organization/snyk,Series C,115000000,USD,115000000,2020-01-21,Stripes,1100000000,USD,1100000000,1195500000,USD,1195500000
Series B - Singular Genomics,https://www.crunchbase.com/funding_round/singular-genomics-series-b--54d46498,"ArchVentures SA, Coatue, Domain Associates, F-Prime Capital, Revelation Partners",Singular Genomics,https://www.crunchbase.com/organization/singular-genomics,Series B,45500000,USD,45500000,2020-01-01,F-Prime Capital,,,,176000000,USD,176000000
Pre Seed Round - Onaroll,https://www.crunchbase.com/funding_round/onaroll-pre-seed--30b20994,"Coatue, Collaborative Fund, Founders Fund, Lux Capital",Onaroll,https://www.crunchbase.com/organization/onaroll,Pre-Seed,2000000,USD,2000000,2019-12-12,"Collaborative Fund, Founders Fund",,,,20000000,USD,20000000
Series E - Chime,https://www.crunchbase.com/funding_round/chime-2-series-e--4e9abb24,"Access Technology Ventures, Coatue, Dragoneer Investment Group, DST Global, General Atlantic, ICONIQ Growth, Inspired Capital Partners, Menlo Ventures",Chime,https://www.crunchbase.com/organization/chime-2,Series E,699999995,USD,699999995,2019-12-05,DST Global,5100000000,USD,5100000000,2292603117,USD,2292603117
Series E - Kustomer,https://www.crunchbase.com/funding_round/kustomer-series-e--7088c62d,"Battery Ventures, Coatue, Tiger Global Management",Kustomer,https://www.crunchbase.com/organization/kustomer,Series E,60000000,USD,60000000,2019-12-04,Coatue,,,,233500000,USD,233500000
Seed Round - Placement,https://www.crunchbase.com/funding_round/placement-seed--b0a381be,"Coatue, Elizabeth Weil, Founders Fund, Julia Hartz, Kevin Hartz, Ryan Petersen, The House Fund, Tony Xu",Placement,https://www.crunchbase.com/organization/placement,Seed,3000000,USD,3000000,2019-11-21,Founders Fund,,,,3000000,USD,3000000
Series B - Bungalow,https://www.crunchbase.com/funding_round/bungalow-series-b--9cd2a956,"A-Rod Corp, Atomic, CAA Ventures, Cherubic Ventures, Coatue, Founders Fund, Gaingels, Khosla Ventures, Maverick Ventures, Nine Four Ventures, Wing Venture Capital",Bungalow,https://www.crunchbase.com/organization/bungalow,Series B,32000000,USD,32000000,2019-11-18,"Coatue, Founders Fund",,,,171000000,USD,171000000
Seed Round - Kikoff,https://www.crunchbase.com/funding_round/kikoff-6b3b-seed--439eb8aa,"Abstract Ventures, Coatue, Core Innovation Capital, Female Founders Fund, Foundation Capital, Lightspeed Venture Partners, Notable Capital",Kikoff,https://www.crunchbase.com/organization/kikoff-6b3b,Seed,2500000,USD,2500000,2019-11-18,Lightspeed Venture Partners,,,,42500000,USD,42500000
Post-IPO Equity - Afterpay,https://www.crunchbase.com/funding_round/afterpay-bb1f-post-ipo-equity--59333d09,Coatue,Afterpay,https://www.crunchbase.com/organization/afterpay-bb1f,Post-IPO Equity,200000000,USD,200000000,2019-11-13,Coatue,,,,448704346,USD,448704346
Seed Round - Flex,https://www.crunchbase.com/funding_round/flex-9e13-seed--0a73b5ed,"Camber Creek, Coatue, Matrix",Flex,https://www.crunchbase.com/organization/flex-9e13,Seed,5500000,USD,5500000,2019-11-01,Matrix,,,,5800000,USD,5800000
Series F - Databricks,https://www.crunchbase.com/funding_round/databricks-series-f--50594792,"Alkeon Capital, Andreessen Horowitz, BlackRock, Coatue, Dragoneer Investment Group, Geodesic Capital, Green Bay Ventures, Microsoft, New Enterprise Associates, T. Rowe Price, Tiger Global Management",Databricks,https://www.crunchbase.com/organization/databricks,Series F,400000000,USD,400000000,2019-10-22,Andreessen Horowitz,5800000000,USD,5800000000,3997000000,USD,3997000000
Series C - Rapyd,https://www.crunchbase.com/funding_round/rapyd-series-c--57cf8cde,"Coatue, Entrée Capital, General Catalyst, Oak HC/FT, Stripe, Target Global, Tiger Global Management",Rapyd,https://www.crunchbase.com/organization/rapyd,Series C,100000000,USD,100000000,2019-10-01,Oak HC/FT,850000000,USD,850000000,770000000,USD,770000000
Seed Round - Flockjay,https://www.crunchbase.com/funding_round/flockjay-seed--3be1dc2f,"Coatue, f7 Ventures, Index Ventures, John Thompson, Liat Bycel, Lightspeed Venture Partners, Paul Buchheit, Serena Williams, SV Angel, Tom Willerer, Will Smith, Y Combinator",Flockjay,https://www.crunchbase.com/organization/flockjay,Seed,2980000,USD,2980000,2019-10-01,,,,,14130000,USD,14130000
Seed Round - Deviceplane,https://www.crunchbase.com/funding_round/deviceplane-seed--1c1ef9ba,Coatue,Deviceplane,https://www.crunchbase.com/organization/deviceplane,Seed,,,,2019-10-01,,,,,,,
Series E - GitLab,https://www.crunchbase.com/funding_round/gitlab-com-series-e--da5548fa,"Adage Capital Management, Alkeon Capital, Altimeter Capital, Coatue, D1 Capital Partners, Franklin Templeton, Goldman Sachs, ICONIQ Growth, Light Street Capital, TCV, Tiger Global Management, Tiger Management Corporation, Two Sigma Private Investments, Y Combinator Continuity Fund",GitLab,https://www.crunchbase.com/organization/gitlab-com,Series E,268000000,USD,268000000,2019-09-17,"Goldman Sachs, ICONIQ Growth",2482000000,USD,2482000000,413500000,USD,413500000
Series D - Checkr,https://www.crunchbase.com/funding_round/checkr-series-d--08c66219,"Accel, Coatue, IVP, T. Rowe Price",Checkr,https://www.crunchbase.com/organization/checkr,Series D,160000000,USD,160000000,2019-09-16,T. Rowe Price,2040000000,USD,2040000000,678999991,USD,678999991
Series C - AppZen,https://www.crunchbase.com/funding_round/appzen-series-c--60be0435,"Coatue, Geodesic Capital, Lightspeed Venture Partners, Redpoint, Sand Hill Angels",AppZen,https://www.crunchbase.com/organization/appzen,Series C,50000000,USD,50000000,2019-09-09,Coatue,450000000,USD,450000000,100600000,USD,100600000
Seed Round - Bond,https://www.crunchbase.com/funding_round/bond-financial-technologies-seed--dc173220,"Canaan Partners, Coatue, Eric Yuan, Ryan Petersen, Sarah Friar, Steve Frieberg",Bond,https://www.crunchbase.com/organization/bond-financial-technologies,Seed,10000000,USD,10000000,2019-08-27,Canaan Partners,,,,42000000,USD,42000000
Series E - Root Insurance,https://www.crunchbase.com/funding_round/rootinsurance-series-e--3cc3c734,"Coatue, Drive Capital, DST Global, Redpoint, Ribbit Capital, Scale Venture Partners, Tiger Global Management",Root Insurance,https://www.crunchbase.com/organization/rootinsurance,Series E,350000000,USD,350000000,2019-08-20,"Coatue, DST Global",3300000000,USD,3300000000,827500000,USD,827500000
Series A - Mason,https://www.crunchbase.com/funding_round/mason-series-a--1f1a524f,"Base10 Partners, Coatue, Notable Capital",Mason,https://www.crunchbase.com/organization/mason,Series A,25000000,USD,25000000,2019-08-14,Coatue,,,,25120000,USD,25120000
Series C - ScaleFactor,https://www.crunchbase.com/funding_round/scale-factor-consulting-series-c--2cd6fce5,"Bessemer Venture Partners, Broadhaven Capital Partners, Canaan Partners, Coatue, Firebrand Ventures, Next Play Capital, Stripes, Vulcan",ScaleFactor,https://www.crunchbase.com/organization/scale-factor-consulting,Series C,60000000,USD,60000000,2019-08-08,Coatue,,,,102970000,USD,102970000
Series C - Scale AI,https://www.crunchbase.com/funding_round/scale-2-series-c--6a16d3b1,"Accel, Adam D’Angelo, Coatue, Founders Fund, Index Ventures, Kevin Systrom, Mike Krieger, Next Play Ventures, Ruttenberg Gordon Investments, Spark Capital, Thrive Capital",Scale AI,https://www.crunchbase.com/organization/scale-2,Series C,100000000,USD,100000000,2019-08-05,Founders Fund,900000000,USD,900000000,1602620000,USD,1602620000
Seed Round - Ramp,https://www.crunchbase.com/funding_round/ramp-financial-seed--30aaddd7,"Adam Rothenberg, Backend Capital, Bouaziz & Partners, Chafic Kazoun, CIG Spectrum Capital, Coatue, Edward Lando, J Ventures, Keith Rabois, Koda M. Wang, Pareto Holdings, Scott Belsky, Tectonic Capital",Ramp,https://www.crunchbase.com/organization/ramp-financial,Seed,7000000,USD,7000000,2019-08-01,Keith Rabois,,,,1817000000,USD,1817000000
Series B - Attabotics,https://www.crunchbase.com/funding_round/attabotics-series-b--09e514b4,"Coatue, Comcast Ventures, Forerunner, Honeywell, Werklund Capital",Attabotics,https://www.crunchbase.com/organization/attabotics,Series B,25000000,USD,25000000,2019-07-30,"Coatue, Comcast Ventures, Honeywell",,,,193969861,USD,193969861
Seed Round - DoNotPay,https://www.crunchbase.com/funding_round/donotpay-seed--ac4874de,"Coatue, Felicis, Founders Fund, Global Founders Capital, Highland Capital Partners, Index Ventures, Tuesday Capital",DoNotPay,https://www.crunchbase.com/organization/donotpay,Seed,4600000,USD,4600000,2019-07-03,Felicis,,,,27700000,USD,27700000
Series D - Rebel Foods,https://www.crunchbase.com/funding_round/faaso-s-series-d--2062d4c4,"Argor Capital, Coatue, Evolvence India Fund, Gojek, Goldman Sachs, Irving Investors, Lightbox, Sequoia Capital",Rebel Foods,https://www.crunchbase.com/organization/faaso-s,Series D,125000000,USD,125000000,2019-07-03,,400000000,USD,400000000,577551029,USD,577551029
Seed Round - Choosy,https://www.crunchbase.com/funding_round/choosy-seed--6fdc6fad,"Coatue, TQ Ventures",Choosy,https://www.crunchbase.com/organization/choosy,Seed,6600000,USD,6600000,2019-06-30,Coatue,,,,12500000,USD,12500000
Series B - Cobalt,https://www.crunchbase.com/funding_round/cobalt-robotics-inc-series-b--e37d3f5d,"Coatue, Fifth Wall, Sequoia Capital",Cobalt,https://www.crunchbase.com/organization/cobalt-robotics-inc,Series B,36800000,USD,36800000,2019-06-25,Coatue,,,,53300000,USD,53300000
Series C - YunQuNa,https://www.crunchbase.com/funding_round/yunquna-series-c--8372e642,"China Merchants Venture Capital, Coatue, DCM Ventures, HongShan, Source Code Capital, Sumitomo Corporation Equity Asia",YunQuNa,https://www.crunchbase.com/organization/yunquna,Series C,70000000,USD,70000000,2019-06-11,"Coatue, HongShan",,,,256845307,USD,256845307
Series B - Weights & Biases,https://www.crunchbase.com/funding_round/weights-biases-series-b--ad7ecd24,"Coatue, Nat Friedman, Richard Socher",Weights & Biases,https://www.crunchbase.com/organization/weights-biases,Series B,15000000,USD,15000000,2019-05-30,Coatue,,,,250000000,USD,250000000
Series G - DoorDash,https://www.crunchbase.com/funding_round/doordash-series-g--d72f24f6,"Coatue, Darsana Capital Partners, Dragoneer Investment Group, DST Global, Sands Capital Ventures, Sequoia Capital, SoftBank Vision Fund, Temasek Holdings",DoorDash,https://www.crunchbase.com/organization/doordash,Series G,600000000,USD,600000000,2019-05-24,Darsana Capital Partners,12000000000,USD,12000000000,2471820000,USD,2471820000
Series E - Marqeta,https://www.crunchbase.com/funding_round/marqeta-series-e--5f35f7bd,"83North, Coatue, CommerzVentures, CreditEase, Geodesic Capital, Goldman Sachs, Granite Ventures, Greyhound Capital, IA Capital Group, ICONIQ Capital, Lone Pine Capital, Spark Capital, Visa, Vitruvian Partners",Marqeta,https://www.crunchbase.com/organization/marqeta,Series E,260000000,USD,260000000,2019-05-21,Coatue,1740000000,USD,1740000000,530110000,USD,530110000
Series D - UiPath,https://www.crunchbase.com/funding_round/uipath-series-d--7455d508,"Accel, Base Partners, CapitalG, Coatue, Dragoneer Investment Group, Geodesic Capital, Harmony Partners, HOF Capital, IVP, Madrona, Next Play Capital, Sands Capital Ventures, Sequoia Capital, T. Rowe Price, Wellington Partners",UiPath,https://www.crunchbase.com/organization/uipath,Series D,568000000,USD,568000000,2019-04-30,Coatue,6432000000,USD,6432000000,1993025000,USD,1993025000
Series C - Kyligence,https://www.crunchbase.com/funding_round/kyligence-series-c--c33cc34d,"Coatue, Eight Roads Ventures, Redpoint Ventures China, Shunwei Capital",Kyligence,https://www.crunchbase.com/organization/kyligence,Series C,25000000,USD,25000000,2019-03-28,Coatue,,,,118000000,USD,118000000
Series A - Proxy,https://www.crunchbase.com/funding_round/martians-series-a--8ea5e3cc,"Coatue, Justin Mateen, Kleiner Perkins, WeWork Creator Fund, Y Combinator",Proxy,https://www.crunchbase.com/organization/martians,Series A,13600000,USD,13600000,2019-03-27,Kleiner Perkins,,,,58800000,USD,58800000
Series E - Stash,https://www.crunchbase.com/funding_round/stash-5-series-e--fb9be683,"Breyer Capital, Coatue, Entrée Capital, Goodwater Capital, Greenspring Associates, Union Square Ventures, Valar Ventures",Stash,https://www.crunchbase.com/organization/stash-5,Series E,73000000,USD,73000000,2019-03-12,,,,,519972000,USD,519972000
Series D - Chime,https://www.crunchbase.com/funding_round/chime-2-series-d--17015dfb,"Cathay Innovation, Coatue, Dragoneer Investment Group, DST Global, Forerunner, General Atlantic, ICONIQ Growth, Menlo Ventures, Seek Ventures",Chime,https://www.crunchbase.com/organization/chime-2,Series D,200000000,USD,200000000,2019-03-05,DST Global,1300000000,USD,1300000000,2292603117,USD,2292603117
Series B - Impira,https://www.crunchbase.com/funding_round/impira-series-b--c297cc66,"Coatue, General Catalyst, Lightspeed Venture Partners, Next Play Capital",Impira,https://www.crunchbase.com/organization/impira,Series B,25000000,USD,25000000,2019-03-04,"Coatue, General Catalyst, Lightspeed Venture Partners",,,,32300000,USD,32300000
Series F - DoorDash,https://www.crunchbase.com/funding_round/doordash-series-f--7e877f6e,"Coatue, Dragoneer Investment Group, DST Global, GIC, Pegasus Tech Ventures, Sequoia Capital, SoftBank Vision Fund, Temasek Holdings, Y Combinator",DoorDash,https://www.crunchbase.com/organization/doordash,Series F,400000000,USD,400000000,2019-02-21,"Dragoneer Investment Group, Temasek Holdings",6700000000,USD,6700000000,2471820000,USD,2471820000
Series B - YunQuNa,https://www.crunchbase.com/funding_round/yunquna-series-b--114eaef5,"China Merchants Innovation Investment Management, Coatue, DCM Ventures, Source Code Capital",YunQuNa,https://www.crunchbase.com/organization/yunquna,Series B,,,,2019-02-20,Coatue,,,,256845307,USD,256845307
Series C - Figma,https://www.crunchbase.com/funding_round/figma-series-c--8fc5d696,"Andrew Wilson, Asia Alpha, Coatue, Dan Rose, Founders Fund, Greylock, Index Ventures, Jeff Weiner, Kleiner Perkins, Mike Krieger, Next Play Ventures, Sequoia Capital",Figma,https://www.crunchbase.com/organization/figma,Series C,40000000,USD,40000000,2019-02-07,Sequoia Capital,400000000,USD,400000000,748624736,USD,748624736
Series E - Databricks,https://www.crunchbase.com/funding_round/databricks-series-e--037705fb,"Andreessen Horowitz, BAM Elevate, Battery Ventures, Coatue, Founders Future, Geodesic Capital, Green Bay Ventures, Microsoft, New Enterprise Associates, Unbound",Databricks,https://www.crunchbase.com/organization/databricks,Series E,250000000,USD,250000000,2019-02-05,Andreessen Horowitz,2500000000,USD,2500000000,3997000000,USD,3997000000
Series C - EarnIn,https://www.crunchbase.com/funding_round/earnin-series-c--5c55ecfb,"Andreessen Horowitz, Coatue, DST Global, March Capital, Matrix, Ribbit Capital, Spark Capital",EarnIn,https://www.crunchbase.com/organization/earnin,Series C,125000000,USD,125000000,2018-12-20,"Andreessen Horowitz, DST Global, Spark Capital",,,,190099999,USD,190099999
Series H - Swiggy,https://www.crunchbase.com/funding_round/swiggy-series-h--e5fe3def,"Coatue, DST Global, Hillhouse Investment, Meituan, Prosus Ventures, Tencent, Wellington Management",Swiggy,https://www.crunchbase.com/organization/swiggy,Series H,1000000000,USD,1000000000,2018-12-20,Prosus Ventures,2300000000,USD,2300000000,3588045037,USD,3588045037
Series C - Agora.io,https://www.crunchbase.com/funding_round/agora-io-series-c--0053ab62,"5Y Capital, Coatue, Shunwei Capital, SIG China (SIG Asia Investments)",Agora.io,https://www.crunchbase.com/organization/agora-io,Series C,70000000,USD,70000000,2018-11-20,Coatue,,,,127000000,USD,127000000
Series B - PlayVS,https://www.crunchbase.com/funding_round/playvs-series-b--2bf44cf6,"Adidas, Coatue, Crosscut Ventures, David Drummond, Elysian Park Ventures, Michael Ryan Dubin, New Enterprise Associates, Plexo Capital, Rahul Mehta, Samsung NEXT, Science, Sean Combs, WndrCo",PlayVS,https://www.crunchbase.com/organization/playvs,Series B,30500000,USD,30500000,2018-11-19,Elysian Park Ventures,,,,106211719,USD,106211719
Series C - Airtable,https://www.crunchbase.com/funding_round/airtable-series-c--efbe3cb3,"Alexa von Tobel, Benchmark, Caffeinated Capital, Coatue, Counterpart Advisors, CRV, Dan Rose, Delphine Arnault, Emily Weiss, Freestyle Capital, Sarah Smith, Thrive Capital",Airtable,https://www.crunchbase.com/organization/airtable,Series C,100000000,USD,100000000,2018-11-15,"Benchmark, Coatue, CRV, Thrive Capital",1000000000,USD,1000000000,1352600000,USD,1352600000
Series F - Instacart,https://www.crunchbase.com/funding_round/instacart-series-f--3722b8f3,"Coatue, Tiger Global Management, Valiant Capital Partners",Instacart,https://www.crunchbase.com/organization/instacart,Series F,271000000,USD,271000000,2018-11-15,Tiger Global Management,7529000000,USD,7529000000,2919023124,USD,2919023124
Series D - Cerebras Systems,https://www.crunchbase.com/funding_round/cerebras-systems-series-d--1d118b45,"Altimeter Capital, Benchmark, Coatue, Eclipse Ventures, Foundation Capital, Vy Capital",Cerebras Systems,https://www.crunchbase.com/organization/cerebras-systems,Series D,81000000,USD,81000000,2018-11-14,,1700000000,USD,1700000000,715000000,USD,715000000
