Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series B - Icosavax,https://www.crunchbase.com/funding_round/icosavax-series-b--9d56240a,"+ND Capital, Adams Street Partners, Cormorant Asset Management, Janus Henderson Investors, Omega Funds, Open Philanthropy, Perceptive Advisors, Qiming Venture Partners USA, RA Capital Management, Sanofi Ventures, Surveyor Capital, Viking Global Investors",Icosavax,https://www.crunchbase.com/organization/icosavax,Series B,100000000,USD,100000000,2021-04-07,RA Capital Management,,,,235300000,USD,235300000
Series B - Lightmatter,https://www.crunchbase.com/funding_round/lightmatter-inc-series-b--94163795,"FAST — by GETTYLAB, Google Ventures, Hewlett Packard Enterprise, Lockheed Martin Ventures, Matrix, SIP Global Partners, Spark Capital, Viking Global Investors",Lightmatter,https://www.crunchbase.com/organization/lightmatter-inc,Series B,80000000,USD,80000000,2021-04-06,Viking Global Investors,,,,822000000,USD,822000000
Series D - Ecovative Design,https://www.crunchbase.com/funding_round/ecovative-designs-series-d--b6789928,"Alpha Impact Investment Management Partners, Senator Investment Group, Siam Capital, Trousdale Ventures, Viking Global Investors",Ecovative Design,https://www.crunchbase.com/organization/ecovative-designs,Series D,60000000,USD,60000000,2021-03-30,Viking Global Investors,,,,121101881,USD,121101881
Series C - ID.me,https://www.crunchbase.com/funding_round/id-me-series-c--06040422,"Airbnb, Alexa von Tobel, BoxGroup, CapitalG, Dan Rosensweig, Lead Edge Capital, Lyft, Marcelo Claure, Moonshots Capital, Morgan Stanley, PSP Growth, SoftBank, Viking Global Investors, Willoughby Capital, WndrCo",ID.me,https://www.crunchbase.com/organization/id-me,Series C,100000000,USD,100000000,2021-03-22,Viking Global Investors,1400000000,USD,1400000000,407245000,USD,407245000
Series B - Amunix,https://www.crunchbase.com/funding_round/amunix-2-series-b--c5bc4a14,"ArrowMark Partners, Avidity Partners, Bain Capital Life Sciences, BlackRock, CaaS Capital Management, Casdin Capital, Clough Capital Partners, Franklin Templeton, Frazier Healthcare Partners, Janus Henderson Investors, Longitude Capital, Omega Funds, Polaris Partners, Redmile Group, Venrock Healthcare Capital Partners, Viking Global Investors",Amunix,https://www.crunchbase.com/organization/amunix-2,Series B,117000000,USD,117000000,2021-03-04,Viking Global Investors,,,,190000000,USD,190000000
Series A - Ensoma,https://www.crunchbase.com/funding_round/ensoma-series-a--52087c37,"5AM Ventures, Alexandria Venture Investments, Cormorant Asset Management, F-Prime Capital, RIT Capital Partners, SymBiosis LLC, Takeda Ventures, Viking Global Investors",Ensoma,https://www.crunchbase.com/organization/ensoma,Series A,70000000,USD,70000000,2021-02-11,5AM Ventures,,,,205000000,USD,205000000
Series B - Day One Biopharmaceuticals,https://www.crunchbase.com/funding_round/day-one-biopharmaceuticals-series-b--813bd54c,"Access Biotechnology, Atlas Venture, Biotechnology Value Fund, Boxer Capital, Canaan Partners, Franklin Templeton, Janus Henderson Investors, Perceptive Advisors, RA Capital Management, T. Rowe Price, Viking Global Investors",Day One Biopharmaceuticals,https://www.crunchbase.com/organization/day-one-biopharmaceuticals,Series B,130000000,USD,130000000,2021-02-10,RA Capital Management,,,,687500000,USD,687500000
Series A - Resilient Biotics,https://www.crunchbase.com/funding_round/resilient-biotics-series-a--dcea9405,"Berkeley Catalyst Fund (BCF), Elanco, Fulcrum Global Capital, Viking Global Investors",Resilient Biotics,https://www.crunchbase.com/organization/resilient-biotics,Series A,7172432,USD,7172432,2021-01-29,"Berkeley Catalyst Fund (BCF), Fulcrum Global Capital",,,,7172432,USD,7172432
Series C - Affinivax,https://www.crunchbase.com/funding_round/affinivax-series-c--ac0de649,"Bain Capital Life Sciences, BlackRock, Cormorant Asset Management, EcoR1 Capital, Foresite Capital, Logos Capital, Perceptive Advisors, Rock Springs Capital, Surveyor Capital, T. Rowe Price, Viking Global Investors, Wellington Management, Ziff Capital Partners",Affinivax,https://www.crunchbase.com/organization/affinivax,Series C,226000000,USD,226000000,2021-01-08,"Foresite Capital, Rock Springs Capital",,,,377487455,USD,377487455
Series D - Color,https://www.crunchbase.com/funding_round/color-genomics-series-d--9d256d41,"General Catalyst, T. Rowe Price, Viking Global Investors",Color,https://www.crunchbase.com/organization/color-genomics,Series D,167000000,USD,167000000,2021-01-04,"General Catalyst, T. Rowe Price",1333000000,USD,1333000000,482000000,USD,482000000
Series C - Edgewise Therapeutics,https://www.crunchbase.com/funding_round/edgewise-therapeutics-series-c--341b56c3,"Citadel, Cormorant Asset Management, CureDuchenne Ventures, Deerfield, Janus Henderson Investors, Logos Capital, New Leaf Ventures, Novo Holdings, OrbiMed, RA Capital Management, Surveyor Capital, U.S. Venture Partners, Viking Global Investors, Wellington Management",Edgewise Therapeutics,https://www.crunchbase.com/organization/edgewise-therapeutics,Series C,95000000,USD,95000000,2020-12-08,Viking Global Investors,200000000,USD,200000000,538500000,USD,538500000
Series A - Boost Biomes,https://www.crunchbase.com/funding_round/boost-biomes-series-a--d9c54afa,"Universal Materials Incubator, Viking Global Investors, Y Combinator, Yara International",Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,Series A,2000000,USD,2000000,2020-12-08,Yara International,,,,4200000,USD,4200000
Series B - RayzeBio,https://www.crunchbase.com/funding_round/rayzebio-series-b--d6e5206a,"Alexandria Venture Investments, Cormorant Asset Management, LifeSci Venture Partners, Logos Capital, OrbiMed, Redmile Group, Samsara BioCapital, venBio Partners, Venrock Healthcare Capital Partners, Versant Ventures, Viking Global Investors",RayzeBio,https://www.crunchbase.com/organization/rayzebio,Series B,105000000,USD,105000000,2020-12-08,Venrock Healthcare Capital Partners,,,,418000000,USD,418000000
Series C - Pharvaris,https://www.crunchbase.com/funding_round/pharvaris-series-c--254e0e25,"Bain Capital Life Sciences, Cormorant Asset Management, Foresite Capital, General Atlantic, venBio Partners, Venrock, Viking Global Investors",Pharvaris,https://www.crunchbase.com/organization/pharvaris,Series C,80000000,USD,80000000,2020-11-18,"General Atlantic, Viking Global Investors",,,,532287335,USD,532287335
Seed Round - Pragma Bio,https://www.crunchbase.com/funding_round/vastbiome-seed--5883fe98,"3CC | Third Culture Capital, Merck Global Health Innovation Fund, Milad Alucozai, Timewise Investment, Viking Global Investors",Pragma Bio,https://www.crunchbase.com/organization/vastbiome,Seed,4500000,USD,4500000,2020-11-13,"Merck Global Health Innovation Fund, Timewise Investment, Viking Global Investors",,,,14515000,USD,14515000
Private Equity Round - Dock,https://www.crunchbase.com/funding_round/conductor-4-private-equity--9840d208,"Sunley House Capital Management, Temasek Holdings, Viking Global Investors",Dock,https://www.crunchbase.com/organization/conductor-4,Private Equity,170000000,USD,170000000,2020-10-30,Viking Global Investors,,,,280000000,USD,280000000
Series A - LianBio,https://www.crunchbase.com/funding_round/lianbio-series-a--c07d4f51,"BlackRock, Casdin Capital, CMG-SDIC Capital Management, Farallon Capital Management, Logos Capital, Perceptive Advisors, Pfizer, RA Capital Management, Sphera Global Healthcare Fund, T. Rowe Price, Tybourne Capital Management, Venrock Healthcare Capital Partners, Vida Ventures, Viking Global Investors, Wellington Management",LianBio,https://www.crunchbase.com/organization/lianbio,Series A,310000000,USD,310000000,2020-10-29,"CMG-SDIC Capital Management, RA Capital Management, Venrock Healthcare Capital Partners",,,,310000000,USD,310000000
Series A - Allonnia,https://www.crunchbase.com/funding_round/allonnia-series-a--8351e0b7,"Battelle, Cascade Investment, General Atlantic, Ginkgo Bioworks, Viking Global Investors",Allonnia,https://www.crunchbase.com/organization/allonnia,Series A,40000000,USD,40000000,2020-10-22,,,,,90000000,USD,90000000
Series E - Arctic Wolf,https://www.crunchbase.com/funding_round/arctic-wolf-networks-series-e--e1ef423e,"DTCP, Viking Global Investors",Arctic Wolf,https://www.crunchbase.com/organization/arctic-wolf-networks,Series E,200000000,USD,200000000,2020-10-22,Viking Global Investors,1100000000,USD,1100000000,899200000,USD,899200000
Series A - Solarea Bio,https://www.crunchbase.com/funding_round/solarea-series-a--ce95c0cb,"Bold Capital Partners, GISEV Family Office, S2G Ventures, Viking Global Investors",Solarea Bio,https://www.crunchbase.com/organization/solarea,Series A,11200000,USD,11200000,2020-10-19,"Bold Capital Partners, S2G Ventures",,,,27200000,USD,27200000
Series B - Talaris Therapeutics,https://www.crunchbase.com/funding_round/talaris-therapeutics-series-b--b6561ea4,"Aisling Capital, BlackRock, Blackstone Life Sciences, Cormorant Asset Management, Eventide, Invus, Logos Capital, Longitude Capital, Pamoja Capital, Qiming Venture Partners USA, Surveyor Capital, Viking Global Investors",Talaris Therapeutics,https://www.crunchbase.com/organization/talaris-therapeutics,Series B,115000000,USD,115000000,2020-10-06,"Surveyor Capital, Viking Global Investors",,,,215000000,USD,215000000
